Date;Close;Log_Weekly_Returns
2019-08-26; $292,45 ;0,026330986
2019-09-03; $298,05 ;0,018967546
2019-09-09; $301,09 ;0,010147966
2019-09-16; $298,28 ;-0,009376581
2019-09-23; $295,40 ;-0,009702273
2019-09-30; $294,35 ;-0,003560835
2019-10-07; $296,28 ;0,006535418
2019-10-14; $297,97 ;0,005687857
2019-10-21; $301,60 ;0,012108826
2019-10-28; $306,14 ;0,014940878
2019-11-04; $308,94 ;0,00910457
2019-11-11; $311,79 ;0,009182801
2019-11-18; $310,96 ;-0,002665598
2019-11-25; $314,31 ;0,010715473
2019-12-02; $314,87 ;0,001780095
2019-12-09; $317,32 ;0,007750873
2019-12-16; $320,73 ;0,010688919
2019-12-23; $322,86 ;0,006619145
2019-12-30; $322,41 ;-0,001394765
2020-01-06; $325,71 ;0,010183387
2020-01-13; $331,95 ;0,01897694
2020-01-21; $328,77 ;-0,009625937
2020-01-27; $321,73 ;-0,021645734
2020-02-03; $332,20 ;0,032024513
2020-02-10; $337,60 ;0,016124566
2020-02-18; $333,48 ;-0,012278869
2020-02-24; $296,26 ;-0,118345446
2020-03-02; $297,46 ;0,004042315
2020-03-09; $269,32 ;-0,099379498
2020-03-16; $228,80 ;-0,163052004
2020-03-23; $253,42 ;0,102199932
2020-03-30; $248,19 ;-0,02085361
2020-04-06; $278,20 ;0,114145698
2020-04-13; $286,64 ;0,029886794
2020-04-20; $282,97 ;-0,012886188
2020-04-27; $282,79 ;-0,000636312
2020-05-04; $292,44 ;0,033554945
2020-05-11; $286,28 ;-0,021289165
2020-05-18; $295,44 ;0,031495418
2020-05-26; $304,32 ;0,029614009
2020-06-01; $319,34 ;0,048176587
2020-06-08; $304,21 ;-0,048538114
2020-06-15; $308,64 ;0,014457297
2020-06-22; $300,05 ;-0,028226422
2020-06-29; $312,23 ;0,039790968
2020-07-06; $317,59 ;0,017021147
2020-07-13; $321,72 ;0,012920359
2020-07-20; $320,88 ;-0,002614381
2020-07-27; $326,52 ;0,017423981
2020-08-03; $334,57 ;0,024354923
2020-08-10; $336,84 ;0,006761915
2020-08-17; $339,48 ;0,007806995
2020-08-24; $350,58 ;0,032173891
2020-08-31; $342,57 ;-0,023112909
2020-09-08; $334,06 ;-0,025155399
2020-09-14; $330,65 ;-0,010260203
2020-09-21; $328,73 ;-0,005823669
2020-09-28; $333,84 ;0,015425091
2020-10-05; $346,85 ;0,038230574
2020-10-12; $347,29 ;0,001267756
2020-10-19; $345,78 ;-0,004357431
2020-10-26; $326,54 ;-0,057250282
2020-11-02; $350,16 ;0,06983774
2020-11-09; $358,10 ;0,022422084
2020-11-16; $355,33 ;-0,007765342
2020-11-23; $363,67 ;0,023199928
2020-11-30; $369,85 ;0,016850655
2020-12-07; $366,30 ;-0,009644848
2020-12-14; $369,18 ;0,00783166
2020-12-21; $369,00 ;-0,000487686
2020-12-28; $373,88 ;0,013138246
2021-01-04; $381,26 ;0,019546667
2021-01-11; $375,70 ;-0,014690605
2021-01-19; $382,88 ;0,018930672
2021-01-25; $370,07 ;-0,034029447
2021-02-01; $387,71 ;0,046565461
2021-02-08; $392,64 ;0,012635524
2021-02-16; $390,03 ;-0,006669502
2021-02-22; $380,36 ;-0,025105487
2021-03-01; $383,63 ;0,008560374
2021-03-08; $394,06 ;0,026824636
2021-03-15; $389,48 ;-0,011690666
2021-03-22; $395,98 ;0,016551189
2021-03-29; $400,61 ;0,011624681
2021-04-05; $411,49 ;0,026796333
2021-04-12; $417,26 ;0,01392481
2021-04-19; $416,74 ;-0,001247003
